epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.4997,4.76401,5.63964,4.13359,0,0,0,0,3.92171,4.65025,3.99737,0.0704762,0.00328042,0.00328042
2,142.661,4.44928,4.82358,3.7874,0,0,0,0,3.65819,4.62882,3.7668,0.0404544,0.00659193,0.00659193
3,214.504,3.96664,4.41413,3.43441,0.00444,0.02256,0.00098,0.00036,4.00837,6.71473,6.65055,0.0104105,0.00988144,0.00988144
4,285.283,3.55015,3.88812,2.88973,0.30039,0.00734,0.00212,0.00067,3.76886,88.9598,3.67983,0.009901,0.009901,0.009901
5,356.91,3.1986,3.10409,2.33568,0.15334,0.00419,0.00099,0.00024,3.97451,11.022,6.81284,0.009868,0.009868,0.009868
6,427.704,2.91726,2.66944,2.09806,0.01306,0.11106,0.00916,0.00251,3.78904,7.24654,3.33854,0.009835,0.009835,0.009835
7,498.756,2.7397,2.41729,1.99489,0.18893,0.03872,0.01177,0.00279,3.70048,4.28809,2.78266,0.009802,0.009802,0.009802
8,570.29,2.57088,2.22408,1.90063,0.07842,0.09012,0.03808,0.01096,3.16552,3.90208,2.29448,0.009769,0.009769,0.009769
9,641.456,2.48364,2.12477,1.83051,0.34946,0.04653,0.03517,0.00923,3.53704,3.82889,2.4153,0.009736,0.009736,0.009736
10,711.849,2.39083,2.00683,1.76703,0.30423,0.09778,0.07784,0.02551,2.80506,3.13153,1.99365,0.009703,0.009703,0.009703
11,783.108,2.2914,1.94694,1.74293,0.38061,0.1172,0.03799,0.01174,3.3106,12.5133,2.54759,0.00967,0.00967,0.00967
12,853.747,2.25519,1.86239,1.69422,0.24245,0.12217,0.06169,0.01656,3.0491,3.33533,2.08578,0.009637,0.009637,0.009637
13,924.135,2.16862,1.75863,1.65288,0.08868,0.0832,0.05265,0.01682,3.09192,5.33803,2.64405,0.009604,0.009604,0.009604
14,994.883,2.14835,1.73272,1.62239,0.13079,0.11173,0.08328,0.02611,2.88133,3.32392,2.03412,0.009571,0.009571,0.009571
15,1065.33,2.11106,1.72343,1.60483,0.18476,0.0516,0.02611,0.00892,3.09521,5.31616,2.60773,0.009538,0.009538,0.009538
16,1135.68,2.10261,1.67466,1.6056,0.11236,0.13632,0.07001,0.02403,2.74617,3.3564,2.15453,0.009505,0.009505,0.009505
17,1206.34,2.05805,1.63213,1.58916,0.26043,0.12369,0.06036,0.02295,2.76271,5.12775,2.08497,0.009472,0.009472,0.009472
18,1277.5,2.01903,1.59917,1.56273,0.12074,0.13687,0.07532,0.02775,2.72807,3.84715,2.0956,0.009439,0.009439,0.009439
19,1348.89,1.98859,1.5825,1.51903,0.09365,0.13371,0.07422,0.02438,2.87548,3.55742,2.15763,0.009406,0.009406,0.009406
20,1420.48,1.97599,1.51818,1.53575,0.43609,0.10688,0.09216,0.03283,2.69671,3.64201,1.91998,0.009373,0.009373,0.009373
21,1491.92,1.95254,1.53381,1.56071,0.13992,0.19946,0.12423,0.04346,2.57188,2.68522,1.80809,0.00934,0.00934,0.00934
22,1562.59,1.90316,1.50247,1.50641,0.17109,0.17612,0.12855,0.04769,2.4546,2.69309,1.81421,0.009307,0.009307,0.009307
23,1632.86,1.89761,1.48141,1.50977,0.21435,0.15329,0.13633,0.04948,2.57032,3.11951,1.94851,0.009274,0.009274,0.009274
24,1703.37,1.86329,1.44467,1.49088,0.19277,0.19602,0.15451,0.05672,2.39153,2.58704,1.69287,0.009241,0.009241,0.009241
25,1773.34,1.87143,1.41521,1.46868,0.13458,0.17183,0.11985,0.04927,2.52363,2.67023,1.79549,0.009208,0.009208,0.009208
26,1843.33,1.82604,1.39045,1.464,0.15781,0.19238,0.13546,0.0569,2.39423,2.57927,1.74602,0.009175,0.009175,0.009175
27,1912.76,1.78858,1.37044,1.42955,0.1446,0.14341,0.126,0.04912,2.42136,2.70687,1.77716,0.009142,0.009142,0.009142
28,1982.54,1.79406,1.35489,1.45247,0.17981,0.17778,0.10476,0.04291,2.61691,3.2714,2.10415,0.009109,0.009109,0.009109
29,2052.71,1.78799,1.35856,1.4263,0.19316,0.18853,0.11819,0.04545,2.46274,3.55656,1.83108,0.009076,0.009076,0.009076
30,2122.9,1.7809,1.3244,1.43756,0.42543,0.17726,0.191,0.07504,2.47943,2.39922,1.91831,0.009043,0.009043,0.009043
31,2193.2,1.76274,1.3155,1.43181,0.22111,0.15407,0.13941,0.05322,2.60851,2.66503,1.95772,0.00901,0.00901,0.00901
32,2262.57,1.74778,1.33118,1.42881,0.22361,0.26938,0.17635,0.07231,2.39635,2.35486,1.76381,0.008977,0.008977,0.008977
33,2331.85,1.74803,1.31189,1.42082,0.21931,0.19254,0.16546,0.06844,2.38846,2.40381,1.80483,0.008944,0.008944,0.008944
34,2400.97,1.72578,1.28251,1.41258,0.27132,0.20621,0.17965,0.06967,2.36752,2.40704,1.80149,0.008911,0.008911,0.008911
35,2470.34,1.72736,1.27803,1.40674,0.23544,0.24534,0.17603,0.07733,2.32594,2.47479,1.76992,0.008878,0.008878,0.008878
