epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.7065,4.73965,5.58929,4.10581,0,0,0,0,3.90837,4.59492,3.96425,0.0704762,0.00328042,0.00328042
2,134.536,4.33633,4.78209,3.6977,0,0,0,0,3.64701,4.58864,3.66312,0.0404544,0.00659193,0.00659193
3,201.184,3.79908,4.1771,3.22114,0.28932,0.00743,0.00096,0.00028,3.65638,6.58514,5.12958,0.0104105,0.00988144,0.00988144
4,267.937,3.45734,3.59434,2.65114,0.00594,0.05842,0.00332,0.00083,4.0019,inf,4.37602,0.009901,0.009901,0.009901
5,334.793,3.14385,2.9017,2.25087,0.02145,0.07404,0.00719,0.00198,4.14041,224.38,5.33645,0.009868,0.009868,0.009868
6,401.477,2.87787,2.53873,2.0394,0.54356,0.06662,0.05847,0.02114,3.10353,3.48509,2.42947,0.009835,0.009835,0.009835
7,468.177,2.70697,2.24473,1.93906,0.52899,0.07565,0.05259,0.0172,3.15771,3.7312,2.31272,0.009802,0.009802,0.009802
8,534.782,2.5106,2.10089,1.85248,0.34939,0.04271,0.03091,0.00914,3.41495,4.08896,2.28477,0.009769,0.009769,0.009769
9,601.326,2.37859,1.9793,1.77358,0.39754,0.1423,0.09693,0.03324,2.88213,3.78016,2.11629,0.009736,0.009736,0.009736
10,667.949,2.28899,1.87283,1.71284,0.38385,0.09222,0.06288,0.01978,3.00332,3.08892,2.1095,0.009703,0.009703,0.009703
11,734.651,2.18886,1.81048,1.67797,0.23169,0.1261,0.05743,0.01787,3.02811,4.18292,2.36379,0.00967,0.00967,0.00967
12,801.449,2.16487,1.71553,1.63054,0.4337,0.1665,0.1036,0.0372,2.72982,3.41377,1.96679,0.009637,0.009637,0.009637
13,868.444,2.09258,1.6219,1.60706,0.4174,0.1514,0.09997,0.0332,2.61683,2.74902,1.96802,0.009604,0.009604,0.009604
14,935.108,2.03368,1.58718,1.57095,0.54223,0.06082,0.04667,0.01817,3.0758,3.74158,2.54124,0.009571,0.009571,0.009571
15,1001.72,1.98399,1.56087,1.5515,0.33205,0.13904,0.12089,0.04961,2.4802,3.05508,1.86691,0.009538,0.009538,0.009538
