                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.839,2.4595,1.2664,0.50903,0.39935,0.38971,0.17451,1.8755,1.7473,1.1926,0.00030179,0.00030179,0.00030179
2,1.8728,1.764,1.3213,0.35715,0.23387,0.22987,0.10937,2.0762,2.5079,1.5134,0.0006028,0.0006028,0.0006028
3,1.8638,1.7098,1.3051,0.57268,0.53674,0.47604,0.21332,1.8052,1.4322,1.2217,0.0009018,0.0009018,0.0009018
4,1.845,1.6352,1.301,0.5529,0.50224,0.51445,0.22938,1.8381,1.3547,1.2268,0.0009,0.0009,0.0009
5,1.8145,1.527,1.2703,0.56515,0.5424,0.57603,0.26298,1.7209,1.2793,1.1819,0.000897,0.000897,0.000897
6,1.7755,1.485,1.245,0.54767,0.57995,0.54703,0.25493,1.7353,1.3763,1.2004,0.000894,0.000894,0.000894
7,1.6917,1.4122,1.209,0.76789,0.60365,0.68845,0.34649,1.6143,1.1376,1.1208,0.000891,0.000891,0.000891
8,1.6921,1.3833,1.2101,0.62286,0.5993,0.62078,0.28338,1.6826,1.184,1.1691,0.000888,0.000888,0.000888
9,1.6435,1.3324,1.1869,0.58058,0.58023,0.60536,0.27885,1.6894,1.2256,1.1801,0.000885,0.000885,0.000885
10,1.6366,1.3352,1.2093,0.59518,0.6138,0.62621,0.29815,1.6014,1.1711,1.1515,0.000882,0.000882,0.000882
11,1.6001,1.3154,1.1882,0.67938,0.60551,0.65525,0.314,1.6747,1.119,1.1618,0.000879,0.000879,0.000879
12,1.613,1.2957,1.1864,0.69287,0.64474,0.72708,0.36357,1.6061,1.0795,1.1153,0.000876,0.000876,0.000876
13,1.566,1.2882,1.1774,0.63212,0.62745,0.66557,0.30416,1.5681,1.1999,1.1409,0.000873,0.000873,0.000873
