epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.1263,4.7344,5.52028,4.08962,0,0,0,0,3.87439,4.67973,3.94747,0.0704762,0.00328042,0.00328042
2,133.757,4.34196,4.74238,3.63853,0.00012,0.03395,8e-05,3e-05,3.68451,4.48036,3.59772,0.0404544,0.00659193,0.00659193
3,200.205,3.95353,4.32308,3.26104,0.72824,0.00248,0.00171,0.00061,3.90743,5.75066,5.03244,0.0104105,0.00988144,0.00988144
4,266.586,3.62213,3.81363,2.82324,0.31821,0.01045,0.00604,0.00194,3.98918,4.64681,3.69806,0.009901,0.009901,0.009901
5,333.073,3.23899,2.97886,2.28674,0.20858,0.11974,0.03271,0.00896,3.45041,7.23028,2.365,0.009868,0.009868,0.009868
6,399.512,2.90627,2.54392,2.04784,0.4022,0.11773,0.0517,0.01607,3.40331,3.53828,2.36689,0.009835,0.009835,0.009835
7,465.873,2.65951,2.28289,1.90842,0.29287,0.11832,0.0564,0.01559,2.96767,2.90958,2.16996,0.009802,0.009802,0.009802
8,532.583,2.48083,2.11338,1.83516,0.30044,0.18325,0.09696,0.0324,2.80397,2.91656,2.02139,0.009769,0.009769,0.009769
9,599.078,2.35963,2.01195,1.75943,0.41459,0.17563,0.11617,0.0374,2.73708,2.56827,1.9041,0.009736,0.009736,0.009736
10,665.515,2.28823,1.88796,1.71255,0.10527,0.16698,0.07178,0.02273,2.79791,3.14273,1.93075,0.009703,0.009703,0.009703
11,732.229,2.16889,1.81569,1.68037,0.24947,0.06512,0.02736,0.0078,3.62079,5.94242,3.96935,0.00967,0.00967,0.00967
12,798.452,2.14717,1.73563,1.63474,0.54815,0.0925,0.08281,0.02571,2.90827,2.66168,1.88591,0.009637,0.009637,0.009637
13,864.891,2.08578,1.64713,1.60865,0.29689,0.19005,0.10047,0.03778,2.71641,3.16068,1.97354,0.009604,0.009604,0.009604
14,931.312,2.05169,1.62653,1.58243,0.15732,0.07771,0.08086,0.02851,3.03087,3.45339,2.13995,0.009571,0.009571,0.009571
15,997.72,2.00636,1.59324,1.56603,0.17648,0.19858,0.09339,0.03685,2.84663,4.54296,2.13751,0.009538,0.009538,0.009538
16,1064.24,1.98433,1.5454,1.54877,0.31377,0.09725,0.08675,0.02999,3.13932,4.78373,2.6673,0.009505,0.009505,0.009505
17,1130.68,1.96065,1.53756,1.54258,0.14847,0.18861,0.12036,0.04567,2.46581,2.49767,1.84379,0.009472,0.009472,0.009472
18,1197.18,1.93242,1.47356,1.51157,0.14831,0.20882,0.10844,0.04683,2.55927,3.58894,1.93782,0.009439,0.009439,0.009439
19,1263.66,1.90359,1.46747,1.47591,0.19454,0.15879,0.08935,0.0349,2.74141,2.6952,2.40676,0.009406,0.009406,0.009406
20,1330.12,1.86372,1.40336,1.47192,0.23791,0.20703,0.15783,0.06739,2.32066,2.50061,1.71802,0.009373,0.009373,0.009373
21,1396.6,1.85871,1.42834,1.50421,0.15906,0.17009,0.0964,0.03577,2.73291,2.7647,2.0425,0.00934,0.00934,0.00934
22,1462.86,1.82561,1.40625,1.46122,0.15999,0.16582,0.10633,0.04363,2.61895,3.18112,1.85084,0.009307,0.009307,0.009307
23,1529.31,1.80537,1.37946,1.45915,0.51923,0.17681,0.17957,0.08714,2.25377,2.36393,1.6507,0.009274,0.009274,0.009274
24,1595.79,1.78354,1.35888,1.44366,0.14985,0.21267,0.12549,0.05163,2.52447,2.75157,1.80708,0.009241,0.009241,0.009241
25,1662.27,1.7874,1.31863,1.4352,0.20803,0.16747,0.11596,0.04816,2.52487,2.98939,1.87959,0.009208,0.009208,0.009208
26,1728.69,1.75441,1.30777,1.42927,0.15225,0.17034,0.13939,0.0619,2.3185,2.52384,1.68524,0.009175,0.009175,0.009175
27,1794.92,1.71071,1.27069,1.37801,0.1534,0.21072,0.13222,0.05354,2.47267,2.50486,1.75,0.009142,0.009142,0.009142
28,1861.24,1.70126,1.25278,1.40107,0.2835,0.14105,0.06821,0.02527,2.97119,4.21952,2.36729,0.009109,0.009109,0.009109
29,1927.89,1.72359,1.26184,1.39539,0.2354,0.18921,0.14024,0.06002,2.27393,2.58366,1.71355,0.009076,0.009076,0.009076
30,1994.38,1.69771,1.25721,1.39711,0.22602,0.21797,0.17217,0.06893,2.29953,2.24474,1.73971,0.009043,0.009043,0.009043
31,2060.85,1.67929,1.23789,1.37963,0.16732,0.14342,0.0836,0.03659,2.75794,3.23615,2.61649,0.00901,0.00901,0.00901
32,2127.23,1.68722,1.25233,1.38569,0.19664,0.20546,0.13958,0.05869,2.46966,2.79766,1.82921,0.008977,0.008977,0.008977
33,2193.76,1.66125,1.23497,1.36763,0.17746,0.1101,0.08633,0.03615,2.77512,3.92158,2.03081,0.008944,0.008944,0.008944
34,2260.16,1.65585,1.21867,1.3726,0.45197,0.1554,0.19786,0.09282,2.19021,2.3157,1.6632,0.008911,0.008911,0.008911
35,2326.56,1.65845,1.20588,1.36596,0.20616,0.21231,0.1342,0.05361,2.57143,3.2397,1.83173,0.008878,0.008878,0.008878
36,2392.93,1.63738,1.19036,1.36361,0.33386,0.15021,0.11612,0.05078,2.67448,3.02537,2.1605,0.008845,0.008845,0.008845
37,2459.31,1.63431,1.18727,1.35887,0.20979,0.18049,0.17498,0.07686,2.30389,2.30393,1.66456,0.008812,0.008812,0.008812
38,2525.76,1.62414,1.18269,1.35636,0.25168,0.23076,0.187,0.08751,2.1638,2.26458,1.67499,0.008779,0.008779,0.008779
39,2592.35,1.60074,1.14706,1.34493,0.41852,0.19228,0.16016,0.07263,2.28863,2.46711,1.785,0.008746,0.008746,0.008746
40,2658.82,1.61167,1.16622,1.34586,0.16955,0.21801,0.17565,0.07776,2.24773,2.07443,1.62358,0.008713,0.008713,0.008713
41,2725.33,1.58798,1.14292,1.30804,0.1683,0.22181,0.15111,0.06665,2.38852,2.53004,1.75626,0.00868,0.00868,0.00868
42,2791.81,1.59797,1.14654,1.33364,0.2114,0.24482,0.17541,0.07467,2.32131,2.75653,1.68983,0.008647,0.008647,0.008647
43,2858.05,1.55461,1.13743,1.31992,0.22361,0.20081,0.16333,0.07264,2.19654,2.38221,1.613,0.008614,0.008614,0.008614
44,2924.36,1.55999,1.11223,1.31206,0.3489,0.21956,0.1619,0.06988,2.39252,2.45704,1.70206,0.008581,0.008581,0.008581
45,2990.73,1.51266,1.0932,1.30743,0.20768,0.22856,0.14335,0.06312,2.44165,2.95923,1.67523,0.008548,0.008548,0.008548
46,3057.01,1.57685,1.11685,1.30711,0.37402,0.28164,0.21012,0.0866,2.26159,2.30433,1.63118,0.008515,0.008515,0.008515
47,3123.32,1.54107,1.09047,1.30023,0.24721,0.25557,0.20682,0.09146,2.18148,2.26473,1.64788,0.008482,0.008482,0.008482
48,3189.73,1.52608,1.07744,1.30921,0.29447,0.2791,0.23826,0.1048,2.16573,1.93408,1.5832,0.008449,0.008449,0.008449
49,3256.18,1.5254,1.06867,1.29715,0.41683,0.25267,0.20762,0.08977,2.22546,2.45428,1.69935,0.008416,0.008416,0.008416
50,3322.71,1.5477,1.10672,1.3032,0.23665,0.2612,0.20417,0.09532,2.15088,2.22098,1.61455,0.008383,0.008383,0.008383
51,3389.13,1.51748,1.08112,1.29249,0.25635,0.20683,0.1856,0.08577,2.22164,3.02655,1.66183,0.00835,0.00835,0.00835
52,3455.47,1.49882,1.05805,1.28145,0.51574,0.21205,0.21284,0.09065,2.16547,2.15486,1.58247,0.008317,0.008317,0.008317
53,3521.69,1.51223,1.06086,1.28167,0.26967,0.2548,0.23343,0.10312,2.22567,2.2449,1.64769,0.008284,0.008284,0.008284
54,3588.03,1.47612,1.04382,1.27318,0.20637,0.28856,0.21327,0.09235,2.20531,2.25551,1.58781,0.008251,0.008251,0.008251
55,3654.45,1.49023,1.04864,1.2856,0.29372,0.27143,0.24638,0.11442,1.9695,1.96085,1.49614,0.008218,0.008218,0.008218
56,3720.78,1.47726,1.04146,1.27521,0.34153,0.2131,0.1817,0.0872,2.13712,2.21268,1.60919,0.008185,0.008185,0.008185
57,3787.14,1.45822,1.02124,1.25119,0.38444,0.24134,0.23221,0.10745,2.1478,2.16433,1.53969,0.008152,0.008152,0.008152
58,3853.42,1.48606,1.04877,1.27159,0.35849,0.19296,0.17225,0.07549,2.30705,2.23657,1.63588,0.008119,0.008119,0.008119
