epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3538,4.76791,5.80103,4.19308,0,0,0,0,4.03673,4.85751,4.06579,0.0704762,0.00328042,0.00328042
2,81.6229,4.25072,4.99472,3.81867,0,0,0,0,3.89827,4.44079,3.96386,0.0404544,0.00659193,0.00659193
3,121.796,3.74902,4.02773,3.24919,0.44503,0.02887,0.00513,0.00142,3.73792,9.77431,3.53838,0.0104105,0.00988144,0.00988144
4,161.977,3.4453,3.26852,2.56069,0.00459,0.04098,0.00397,0.00111,3.54478,26.5054,3.38353,0.009901,0.009901,0.009901
5,201.855,3.08495,2.67489,2.19937,0.00851,0.05089,0.00656,0.00187,3.59964,4.59333,3.16659,0.009868,0.009868,0.009868
6,241.829,2.81402,2.38978,2.00812,0.53751,0.07112,0.04843,0.01469,2.97712,3.24524,2.48767,0.009835,0.009835,0.009835
7,281.702,2.62049,2.15208,1.9062,0.65279,0.04455,0.04842,0.01565,3.02828,3.66736,2.48209,0.009802,0.009802,0.009802
8,321.858,2.44154,1.99594,1.83326,0.80781,0.09715,0.06835,0.02183,2.80227,3.48899,2.0378,0.009769,0.009769,0.009769
9,361.912,2.35111,1.91163,1.76708,0.847,0.08894,0.10037,0.0333,2.70986,3.08975,1.99292,0.009736,0.009736,0.009736
10,401.958,2.22307,1.80503,1.68743,0.52659,0.11929,0.08684,0.0298,2.67617,3.90047,1.96372,0.009703,0.009703,0.009703
11,441.933,2.13621,1.74748,1.659,0.57798,0.11389,0.08822,0.03288,2.63335,3.3004,2.08027,0.00967,0.00967,0.00967
12,481.999,2.09557,1.64196,1.61275,0.46135,0.14187,0.12285,0.04616,2.50437,2.50743,1.75492,0.009637,0.009637,0.009637
13,522.104,2.0331,1.57293,1.58026,0.84311,0.13302,0.12733,0.04505,2.55627,2.95083,1.81085,0.009604,0.009604,0.009604
14,562.018,2.00903,1.55213,1.56347,0.59815,0.10438,0.10677,0.03762,2.67117,2.95243,1.98321,0.009571,0.009571,0.009571
15,602.193,1.95065,1.52202,1.54184,0.72015,0.15599,0.13192,0.05547,2.47968,2.52954,1.81773,0.009538,0.009538,0.009538
16,642.289,1.9503,1.48863,1.52765,0.87239,0.1405,0.1347,0.05338,2.43747,2.85071,1.78521,0.009505,0.009505,0.009505
17,682.467,1.91432,1.4372,1.52897,0.29426,0.15025,0.12908,0.05353,2.45214,2.70152,1.83825,0.009472,0.009472,0.009472
18,722.517,1.88516,1.40709,1.49647,0.56163,0.10444,0.10135,0.03874,2.68333,2.77234,1.88348,0.009439,0.009439,0.009439
19,762.58,1.85485,1.38024,1.45342,0.60862,0.14031,0.13254,0.05346,2.47111,2.41969,1.83499,0.009406,0.009406,0.009406
20,802.503,1.83602,1.32201,1.45828,0.62359,0.17005,0.17335,0.07647,2.23713,2.51237,1.64993,0.009373,0.009373,0.009373
21,842.466,1.82172,1.35694,1.47633,0.72125,0.13531,0.13553,0.05654,2.37188,2.63533,1.76483,0.00934,0.00934,0.00934
22,882.359,1.77785,1.33545,1.43983,0.4796,0.12811,0.12002,0.05101,2.59883,2.65003,1.86812,0.009307,0.009307,0.009307
23,922.297,1.77157,1.29817,1.44096,0.64036,0.18374,0.17604,0.08252,2.16647,2.3001,1.60057,0.009274,0.009274,0.009274
24,962.263,1.74354,1.29067,1.43123,0.73715,0.15295,0.13245,0.05411,2.62585,2.69458,1.87208,0.009241,0.009241,0.009241
25,1002.3,1.75746,1.27242,1.41036,0.30736,0.19367,0.16383,0.08014,2.17367,2.38161,1.62363,0.009208,0.009208,0.009208
26,1042.17,1.70771,1.24502,1.40625,0.61127,0.13964,0.14575,0.06699,2.34553,2.32782,1.70083,0.009175,0.009175,0.009175
27,1082.08,1.67967,1.21938,1.36834,0.70664,0.15408,0.15147,0.07044,2.27271,2.67119,1.74328,0.009142,0.009142,0.009142
28,1121.88,1.69558,1.21151,1.39506,0.60373,0.20014,0.16308,0.08024,2.22003,2.42422,1.69012,0.009109,0.009109,0.009109
29,1161.76,1.68637,1.19962,1.37534,0.6192,0.16565,0.16378,0.08116,2.17716,2.35333,1.69555,0.009076,0.009076,0.009076
30,1201.91,1.65804,1.17085,1.38342,0.74902,0.14723,0.16614,0.07784,2.16807,2.36574,1.64667,0.009043,0.009043,0.009043
31,1241.98,1.67855,1.19825,1.38791,0.48456,0.21006,0.17349,0.08125,2.15836,2.29543,1.62016,0.00901,0.00901,0.00901
32,1281.93,1.64395,1.18993,1.37071,0.61634,0.16652,0.16947,0.08374,2.18927,2.31276,1.67916,0.008977,0.008977,0.008977
33,1322.06,1.63857,1.17725,1.35742,0.76768,0.15612,0.16021,0.07652,2.20728,2.38161,1.6498,0.008944,0.008944,0.008944
34,1361.92,1.6213,1.17678,1.35316,0.78519,0.15665,0.17447,0.08297,2.23845,2.47399,1.67392,0.008911,0.008911,0.008911
35,1401.85,1.62358,1.15311,1.3472,0.65607,0.16307,0.17275,0.08554,2.18016,2.2084,1.59572,0.008878,0.008878,0.008878
36,1441.91,1.60342,1.12612,1.353,0.75199,0.17865,0.16637,0.08096,2.11303,2.30891,1.57008,0.008845,0.008845,0.008845
37,1481.78,1.60074,1.12829,1.34298,0.64552,0.22953,0.18922,0.09784,2.12017,2.22027,1.56415,0.008812,0.008812,0.008812
38,1521.95,1.58613,1.12236,1.34169,0.60801,0.18645,0.16409,0.08243,2.23333,2.51696,1.56404,0.008779,0.008779,0.008779
39,1561.72,1.57537,1.10641,1.32961,0.75728,0.1376,0.15245,0.07373,2.25772,2.49053,1.73338,0.008746,0.008746,0.008746
40,1601.74,1.56325,1.11691,1.3224,0.7795,0.16106,0.17905,0.08792,2.16596,2.20345,1.58952,0.008713,0.008713,0.008713
41,1641.59,1.56585,1.09264,1.3002,0.79763,0.19937,0.18707,0.09131,2.13377,2.26335,1.58348,0.00868,0.00868,0.00868
42,1681.39,1.57372,1.11256,1.32117,0.62835,0.19008,0.17933,0.09383,2.0781,2.12816,1.54365,0.008647,0.008647,0.008647
43,1721.16,1.54833,1.08858,1.31554,0.66674,0.18507,0.17799,0.09257,2.16791,2.24143,1.57924,0.008614,0.008614,0.008614
44,1761.15,1.53082,1.07977,1.29687,0.80087,0.17016,0.19237,0.09883,2.0773,2.20749,1.57391,0.008581,0.008581,0.008581
45,1801.03,1.49272,1.04993,1.29769,0.51405,0.18615,0.17821,0.09331,2.07751,2.17244,1.55294,0.008548,0.008548,0.008548
46,1841.09,1.54406,1.07623,1.29369,0.84236,0.16328,0.19105,0.09828,2.04906,2.079,1.54415,0.008515,0.008515,0.008515
47,1881.03,1.51329,1.05538,1.28709,0.49131,0.16235,0.16444,0.08399,2.17068,2.41709,1.62848,0.008482,0.008482,0.008482
48,1921.24,1.51171,1.04292,1.29764,0.44489,0.15651,0.14272,0.07002,2.27731,2.21746,1.74288,0.008449,0.008449,0.008449
49,1961.11,1.48551,1.01623,1.27636,0.64386,0.17964,0.18235,0.09045,2.07991,2.12532,1.5352,0.008416,0.008416,0.008416
50,2001.26,1.50624,1.05627,1.27908,0.82701,0.18874,0.21165,0.11074,2.06053,2.0268,1.51678,0.008383,0.008383,0.008383
51,2041.43,1.4845,1.03482,1.28242,0.78289,0.17533,0.17668,0.0924,2.11777,2.20107,1.5445,0.00835,0.00835,0.00835
52,2081.32,1.46325,1.008,1.26152,0.57132,0.19878,0.20351,0.0987,2.04835,2.01854,1.60577,0.008317,0.008317,0.008317
53,2121.18,1.48229,1.0182,1.26737,0.6336,0.21264,0.19407,0.0999,2.15469,2.16238,1.58412,0.008284,0.008284,0.008284
