epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7563,4.70852,5.4655,4.08017,0,0,0,0,3.73517,4.34,3.83796,0.0704762,0.00328042,0.00328042
2,38.4564,4.27711,4.61738,3.5982,0,0,0,0,3.64167,4.64574,3.64543,0.0404544,0.00659193,0.00659193
3,47.1474,3.82141,4.14695,3.21334,0.31785,0.05034,0.00912,0.00353,3.73393,10.5013,5.7777,0.0104105,0.00988144,0.00988144
4,55.7757,3.49026,3.39384,2.55024,0.65002,0.07861,0.04303,0.01377,3.39851,5.08957,2.63178,0.009901,0.009901,0.009901
5,64.4538,3.12763,2.87488,2.21293,0.51561,0.08655,0.04145,0.01576,3.41244,9.46101,2.91444,0.009868,0.009868,0.009868
6,72.9878,2.88045,2.58504,2.03057,0.45624,0.16822,0.09355,0.0346,2.8267,2.49873,2.06929,0.009835,0.009835,0.009835
7,81.5464,2.72137,2.36691,1.93718,0.4124,0.15754,0.09257,0.03164,2.69787,3.16911,2.1283,0.009802,0.009802,0.009802
8,90.1092,2.54345,2.21228,1.8523,0.54729,0.25005,0.17281,0.0624,2.62272,2.32592,1.92174,0.009769,0.009769,0.009769
9,98.731,2.47778,2.11476,1.79533,0.54408,0.29429,0.21866,0.08065,2.3819,2.74981,1.77381,0.009736,0.009736,0.009736
10,107.29,2.38061,2.01509,1.73988,0.351,0.17942,0.12642,0.04995,2.65738,3.10895,1.97669,0.009703,0.009703,0.009703
11,115.837,2.28228,1.95171,1.7144,0.55704,0.26936,0.22451,0.08719,2.31788,1.96013,1.74311,0.00967,0.00967,0.00967
12,124.368,2.24544,1.85258,1.66377,0.40245,0.03057,0.02606,0.0094,3.47984,5.15165,3.30904,0.009637,0.009637,0.009637
13,132.926,2.17679,1.77346,1.63118,0.48283,0.35915,0.30885,0.13216,2.08496,1.62553,1.63874,0.009604,0.009604,0.009604
14,141.505,2.16729,1.7419,1.61866,0.41901,0.31439,0.24916,0.09742,2.26967,1.92047,1.7256,0.009571,0.009571,0.009571
15,150.197,2.0924,1.71904,1.58343,0.30056,0.37862,0.25143,0.10109,2.23987,2.19437,1.65279,0.009538,0.009538,0.009538
16,158.788,2.09449,1.69643,1.58958,0.50305,0.19062,0.1445,0.05238,2.57967,2.63836,1.92542,0.009505,0.009505,0.009505
17,167.371,2.06989,1.67008,1.59721,0.42158,0.34561,0.31944,0.13474,2.00036,1.60667,1.53673,0.009472,0.009472,0.009472
18,175.975,2.02642,1.61654,1.55134,0.31427,0.38358,0.27495,0.1167,2.09365,2.29099,1.66711,0.009439,0.009439,0.009439
19,184.565,1.99159,1.60469,1.5122,0.36497,0.20397,0.17499,0.07162,2.31968,2.33082,1.7792,0.009406,0.009406,0.009406
20,193.129,1.95989,1.54138,1.51071,0.6073,0.43454,0.41832,0.18803,1.90428,1.40264,1.50555,0.009373,0.009373,0.009373
21,201.747,1.93558,1.55883,1.53515,0.44645,0.48242,0.38162,0.16673,1.9235,1.52474,1.52379,0.00934,0.00934,0.00934
22,210.373,1.92263,1.52707,1.50917,0.44354,0.38448,0.33802,0.15302,2.02227,1.67221,1.59337,0.009307,0.009307,0.009307
23,218.99,1.86068,1.47533,1.48249,0.49188,0.32718,0.29991,0.12953,2.14597,1.7691,1.61379,0.009274,0.009274,0.009274
24,227.656,1.85303,1.46918,1.47756,0.45051,0.46731,0.37523,0.15633,1.96741,1.79437,1.51275,0.009241,0.009241,0.009241
25,236.544,1.87601,1.45107,1.45964,0.55141,0.50331,0.48876,0.22244,1.8029,1.29775,1.46599,0.009208,0.009208,0.009208
26,245.604,1.84006,1.44223,1.46111,0.5014,0.5467,0.51735,0.21737,1.76523,1.35875,1.40614,0.009175,0.009175,0.009175
27,254.444,1.80236,1.38181,1.42538,0.32034,0.40837,0.32611,0.14771,2.00035,1.6592,1.57287,0.009142,0.009142,0.009142
28,262.999,1.79579,1.38724,1.44798,0.49755,0.42129,0.39769,0.17901,1.77546,1.71138,1.44485,0.009109,0.009109,0.009109
29,271.596,1.80112,1.39682,1.43121,0.41488,0.49001,0.43879,0.20162,1.69467,1.31997,1.41009,0.009076,0.009076,0.009076
30,280.462,1.76728,1.35524,1.43446,0.55443,0.57368,0.56255,0.26391,1.74143,1.31383,1.42923,0.009043,0.009043,0.009043
31,289.38,1.76685,1.33768,1.42297,0.42636,0.46472,0.37854,0.16885,1.84495,3.79278,1.47928,0.00901,0.00901,0.00901
32,298.153,1.74919,1.37441,1.41759,0.56391,0.50523,0.47275,0.21199,1.75292,1.28567,1.42135,0.008977,0.008977,0.008977
33,307.006,1.73081,1.36211,1.39823,0.57159,0.50982,0.52477,0.22585,1.70884,1.25233,1.41213,0.008944,0.008944,0.008944
