epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.48532,1.75035,3.03475,1.27792,0.22669,0.27019,0.22578,0.12141,1.60837,2.09198,1.22402,0.0704762,0.00328042,0.00328042
2,18.2609,1.7209,1.73304,1.21753,0.4984,0.33993,0.31572,0.15256,1.66116,1.64997,1.17105,0.0404544,0.00659193,0.00659193
3,26.8958,1.76843,1.74296,1.21923,0.56374,0.12505,0.10109,0.04495,2.50456,3.18843,1.72429,0.0104105,0.00988144,0.00988144
4,35.4674,1.9454,1.81161,1.28893,0.27536,0.11694,0.06544,0.03127,2.52944,9.32209,1.91084,0.009901,0.009901,0.009901
5,44.1096,1.91531,1.74514,1.29678,0.24209,0.23039,0.12253,0.04734,2.38538,2.92332,1.61865,0.009868,0.009868,0.009868
6,52.7366,1.88557,1.66452,1.28235,0.5928,0.22684,0.21339,0.09212,2.15034,2.99358,1.4691,0.009835,0.009835,0.009835
7,61.3531,1.87549,1.57491,1.26185,0.23756,0.42779,0.25352,0.10929,1.95884,2.36519,1.35771,0.009802,0.009802,0.009802
8,69.9387,1.78968,1.50154,1.22801,0.55809,0.1807,0.19139,0.08079,2.25054,2.94364,1.57382,0.009769,0.009769,0.009769
9,78.5385,1.76237,1.49924,1.22359,0.50147,0.29834,0.29278,0.12843,2.12908,2.12209,1.47969,0.009736,0.009736,0.009736
10,87.151,1.7528,1.46642,1.22793,0.50613,0.33506,0.33147,0.15076,1.90472,1.89815,1.3231,0.009703,0.009703,0.009703
11,95.7459,1.6824,1.43615,1.2095,0.4132,0.40866,0.30864,0.13264,1.92323,2.85263,1.33901,0.00967,0.00967,0.00967
12,104.413,1.69765,1.38016,1.18902,0.35261,0.29631,0.2711,0.12698,1.98744,3.6347,1.44612,0.009637,0.009637,0.009637
13,113.027,1.64816,1.30372,1.17977,0.486,0.46546,0.45129,0.21827,1.68913,1.32227,1.18367,0.009604,0.009604,0.009604
14,121.64,1.62624,1.29762,1.16638,0.57953,0.35988,0.39134,0.19179,1.74352,1.57028,1.22908,0.009571,0.009571,0.009571
15,130.213,1.615,1.31257,1.16952,0.62046,0.33104,0.34798,0.16888,1.85157,1.77144,1.27676,0.009538,0.009538,0.009538
16,138.8,1.661,1.32791,1.19442,0.53594,0.49146,0.5128,0.24523,1.71711,1.4096,1.19331,0.009505,0.009505,0.009505
17,147.394,1.62291,1.28194,1.16826,0.59862,0.43331,0.44652,0.20952,1.70172,1.41603,1.16718,0.009472,0.009472,0.009472
18,155.943,1.57234,1.24488,1.14516,0.49406,0.17292,0.15726,0.08325,2.17982,3.34878,1.58603,0.009439,0.009439,0.009439
19,164.557,1.56916,1.25548,1.14477,0.61491,0.31273,0.37433,0.18515,1.85677,2.04808,1.30565,0.009406,0.009406,0.009406
20,173.148,1.5955,1.22277,1.15819,0.60661,0.35541,0.40855,0.20077,1.6692,1.2321,1.14092,0.009373,0.009373,0.009373
21,181.714,1.56057,1.22477,1.14965,0.55831,0.46408,0.44615,0.21423,1.63394,1.35945,1.11521,0.00934,0.00934,0.00934
22,190.279,1.54452,1.22127,1.13779,0.43284,0.35509,0.359,0.17411,1.84646,1.87374,1.29584,0.009307,0.009307,0.009307
23,198.887,1.52568,1.19393,1.12769,0.56864,0.4857,0.51333,0.25091,1.59068,1.30732,1.10878,0.009274,0.009274,0.009274
24,207.502,1.50977,1.20188,1.13797,0.51221,0.4224,0.42005,0.21129,1.6575,1.44708,1.19633,0.009241,0.009241,0.009241
25,216.032,1.54037,1.18801,1.13346,0.51433,0.42478,0.38512,0.18998,1.77487,1.42231,1.27196,0.009208,0.009208,0.009208
26,224.587,1.51868,1.17934,1.12077,0.56301,0.46581,0.47003,0.23115,1.65144,1.30244,1.15704,0.009175,0.009175,0.009175
27,233.151,1.48934,1.13635,1.11383,0.71496,0.62255,0.67285,0.31666,1.52526,1.08781,1.10039,0.009142,0.009142,0.009142
28,241.697,1.4747,1.1299,1.10821,0.7875,0.50244,0.58737,0.32356,1.51506,1.11904,1.06359,0.009109,0.009109,0.009109
29,250.269,1.49089,1.13409,1.11764,0.68542,0.59912,0.64197,0.33348,1.4401,1.04803,1.06244,0.009076,0.009076,0.009076
30,258.863,1.47505,1.10938,1.11333,0.45273,0.46307,0.46158,0.23232,1.60655,1.33049,1.16782,0.009043,0.009043,0.009043
31,267.442,1.47203,1.11876,1.11119,0.63312,0.6418,0.66969,0.33219,1.47,1.06353,1.06829,0.00901,0.00901,0.00901
32,276.015,1.47108,1.15099,1.11512,0.63247,0.54604,0.56515,0.27537,1.5919,1.19617,1.12382,0.008977,0.008977,0.008977
33,284.576,1.44087,1.11926,1.09279,0.5794,0.37155,0.40114,0.19745,1.79179,3.02354,1.30083,0.008944,0.008944,0.008944
34,293.202,1.45841,1.1091,1.10939,0.67466,0.3027,0.41852,0.20925,1.71995,3.22805,1.25796,0.008911,0.008911,0.008911
35,301.75,1.47124,1.10847,1.1034,0.59712,0.43317,0.4806,0.23375,1.58499,1.2799,1.15085,0.008878,0.008878,0.008878
36,310.307,1.43775,1.09089,1.10237,0.63304,0.53087,0.55489,0.25878,1.55138,1.1761,1.11929,0.008845,0.008845,0.008845
37,318.891,1.42534,1.09264,1.07754,0.5694,0.51588,0.52733,0.24642,1.56004,1.29847,1.10626,0.008812,0.008812,0.008812
38,327.464,1.42775,1.07026,1.09561,0.70685,0.44367,0.53359,0.26985,1.5235,1.42657,1.10734,0.008779,0.008779,0.008779
39,336.013,1.4217,1.07057,1.09071,0.58054,0.40232,0.42688,0.21426,1.68996,1.52967,1.1847,0.008746,0.008746,0.008746
40,344.592,1.42609,1.09337,1.09452,0.44737,0.19087,0.23571,0.12138,2.16095,3.23903,1.59273,0.008713,0.008713,0.008713
41,353.164,1.40655,1.0461,1.06825,0.60636,0.57132,0.61069,0.30564,1.46692,1.08808,1.06875,0.00868,0.00868,0.00868
42,361.737,1.41338,1.05725,1.08068,0.73042,0.56372,0.68429,0.34102,1.40144,1.28812,1.06061,0.008647,0.008647,0.008647
43,370.347,1.39656,1.04535,1.08098,0.50542,0.43196,0.41954,0.21006,1.61181,2.47611,1.20973,0.008614,0.008614,0.008614
44,378.934,1.38977,1.02398,1.07693,0.70127,0.70403,0.73749,0.37203,1.44024,0.92508,1.05718,0.008581,0.008581,0.008581
45,387.56,1.35307,0.99193,1.06499,0.63013,0.63442,0.64075,0.30891,1.44787,1.23337,1.07167,0.008548,0.008548,0.008548
46,396.113,1.39964,1.03087,1.06973,0.76249,0.57068,0.64895,0.33065,1.43325,1.01208,1.06752,0.008515,0.008515,0.008515
47,404.669,1.39734,1.01273,1.0758,0.74559,0.5319,0.59413,0.30045,1.54612,1.13031,1.11543,0.008482,0.008482,0.008482
48,413.246,1.40199,1.02322,1.0894,0.65719,0.58731,0.61666,0.30644,1.45467,0.94948,1.05564,0.008449,0.008449,0.008449
49,421.822,1.37285,0.99111,1.06926,0.80217,0.69198,0.74394,0.39585,1.38218,0.92258,1.04049,0.008416,0.008416,0.008416
50,430.393,1.40095,1.02782,1.0719,0.72702,0.58844,0.70119,0.35782,1.43508,1.02128,1.063,0.008383,0.008383,0.008383
51,438.962,1.38652,1.00494,1.07786,0.70476,0.48416,0.54981,0.27378,1.55076,1.22536,1.11569,0.00835,0.00835,0.00835
52,447.526,1.34718,0.98286,1.04882,0.74556,0.6638,0.73701,0.37463,1.38943,0.8972,1.04999,0.008317,0.008317,0.008317
53,456.077,1.36927,0.99031,1.06672,0.53952,0.2917,0.31814,0.15024,2.00557,2.77915,1.41261,0.008284,0.008284,0.008284
54,464.671,1.33639,0.96544,1.05144,0.64008,0.37002,0.42698,0.20671,1.69687,2.03528,1.25169,0.008251,0.008251,0.008251
55,473.227,1.37294,0.98476,1.06711,0.6831,0.50966,0.5475,0.27418,1.4772,1.15454,1.0815,0.008218,0.008218,0.008218
