epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.5687,4.74439,5.5969,4.14514,0,0,0,0,4.03158,4.85386,4.05359,0.0704762,0.00328042,0.00328042
2,135.26,4.54034,5.06445,3.90939,0,0,0,0,3.67113,4.72275,3.78081,0.0404544,0.00659193,0.00659193
3,202.063,4.05469,4.56154,3.48587,8e-05,0.01476,7e-05,2e-05,4.57049,5.34985,6.75267,0.0104105,0.00988144,0.00988144
4,268.789,3.72248,4.07642,2.98329,0.00413,0.05838,0.00354,0.00073,4.41928,5.22031,6.24793,0.009901,0.009901,0.009901
5,335.547,3.30079,3.15931,2.32748,0.16762,0.09395,0.00987,0.00222,3.90955,4.4082,3.49871,0.009868,0.009868,0.009868
6,402.44,2.92794,2.67594,2.07421,0.06546,0.08071,0.03309,0.00882,3.63416,4.42778,3.63713,0.009835,0.009835,0.009835
7,469.472,2.75256,2.41908,1.97631,0.19165,0.10721,0.02625,0.00739,3.20332,4.09371,2.38792,0.009802,0.009802,0.009802
8,536.308,2.59161,2.25712,1.89556,0.53023,0.16715,0.08901,0.02804,2.87092,2.7971,2.10321,0.009769,0.009769,0.009769
9,603.108,2.46883,2.11253,1.8199,0.35925,0.09285,0.04217,0.0118,3.2341,3.3253,2.07218,0.009736,0.009736,0.009736
10,669.64,2.37234,2.01116,1.75765,0.22792,0.0778,0.05183,0.01825,2.87893,3.27526,2.11563,0.009703,0.009703,0.009703
11,736.424,2.26701,1.93786,1.72098,0.24663,0.10101,0.06754,0.02013,3.10509,3.41437,2.04904,0.00967,0.00967,0.00967
12,803.136,2.22728,1.85354,1.66991,0.06615,0.08539,0.03879,0.01172,3.26571,3.49149,2.28441,0.009637,0.009637,0.009637
13,870.087,2.15232,1.75549,1.6306,0.27568,0.14772,0.0655,0.02215,3.00775,2.99297,2.41445,0.009604,0.009604,0.009604
14,936.894,2.12002,1.71665,1.61771,0.20998,0.04359,0.03595,0.01112,3.22537,3.77854,2.17084,0.009571,0.009571,0.009571
15,1003.64,2.07107,1.69886,1.59197,0.18949,0.22292,0.155,0.05917,2.38529,2.31305,1.77024,0.009538,0.009538,0.009538
16,1070.33,2.06488,1.66344,1.58929,0.25811,0.12953,0.09958,0.02981,2.88243,3.20203,1.99551,0.009505,0.009505,0.009505
17,1136.93,2.02374,1.60936,1.58546,0.31576,0.1892,0.14081,0.05251,2.44054,2.29417,1.75818,0.009472,0.009472,0.009472
18,1203.67,1.9853,1.56524,1.5468,0.24221,0.05062,0.04409,0.01481,3.22889,3.43563,2.85488,0.009439,0.009439,0.009439
19,1270.58,1.96616,1.53148,1.50672,0.15006,0.17948,0.12365,0.0488,2.58061,2.86599,1.83906,0.009406,0.009406,0.009406
20,1337.45,1.93826,1.48075,1.51501,0.16209,0.14893,0.12475,0.04658,2.72095,2.75067,1.91681,0.009373,0.009373,0.009373
21,1404.18,1.92966,1.52503,1.53476,0.58922,0.1499,0.13471,0.04962,2.55354,2.57571,1.89029,0.00934,0.00934,0.00934
22,1470.84,1.87783,1.47553,1.48723,0.28399,0.13956,0.09661,0.03986,2.67633,2.7767,2.08211,0.009307,0.009307,0.009307
23,1537.36,1.86309,1.46286,1.48442,0.66796,0.0849,0.07088,0.02287,2.94895,3.32762,2.04837,0.009274,0.009274,0.009274
24,1604.13,1.83675,1.43443,1.47238,0.17435,0.22106,0.14543,0.05776,2.40915,2.42373,1.78099,0.009241,0.009241,0.009241
25,1670.96,1.848,1.37908,1.45861,0.48131,0.14109,0.14756,0.06472,2.38922,2.62495,1.85728,0.009208,0.009208,0.009208
26,1737.75,1.81019,1.37061,1.45461,0.3137,0.16293,0.12956,0.05223,2.5348,2.53001,1.86362,0.009175,0.009175,0.009175
27,1804.34,1.78224,1.35453,1.42691,0.37252,0.15375,0.13217,0.04934,2.50437,2.46621,1.83041,0.009142,0.009142,0.009142
28,1871.17,1.78474,1.33675,1.44318,0.28508,0.19112,0.12427,0.04788,2.48426,2.51778,1.80106,0.009109,0.009109,0.009109
29,1937.49,1.78257,1.33582,1.42298,0.32131,0.12522,0.10228,0.03672,2.88022,2.78428,2.19657,0.009076,0.009076,0.009076
30,2003.9,1.76063,1.3246,1.42719,0.45268,0.11196,0.08643,0.03283,2.8066,3.25792,2.18541,0.009043,0.009043,0.009043
31,2070.24,1.74848,1.31565,1.42172,0.36824,0.22452,0.1604,0.05547,2.45769,2.21706,1.86274,0.00901,0.00901,0.00901
32,2136.72,1.74698,1.32131,1.42196,0.47663,0.24715,0.18141,0.07619,2.31156,2.26677,1.69657,0.008977,0.008977,0.008977
33,2203.3,1.72754,1.30284,1.40154,0.49786,0.16542,0.19134,0.08596,2.18082,2.26422,1.63422,0.008944,0.008944,0.008944
34,2270.31,1.69931,1.27908,1.3895,0.21701,0.21491,0.16342,0.06737,2.29636,2.5331,1.72109,0.008911,0.008911,0.008911
35,2336.57,1.71984,1.27581,1.40351,0.36441,0.23622,0.16747,0.07197,2.38312,2.43623,1.7431,0.008878,0.008878,0.008878
36,2403.6,1.68566,1.27291,1.39674,0.43991,0.1585,0.13016,0.05314,2.58824,3.1667,2.28073,0.008845,0.008845,0.008845
37,2470.36,1.69082,1.2613,1.3914,0.23185,0.18785,0.16699,0.07226,2.38782,2.68516,1.76636,0.008812,0.008812,0.008812
38,2537.07,1.68391,1.23809,1.39188,0.59295,0.17937,0.18084,0.08195,2.30741,2.47863,1.80499,0.008779,0.008779,0.008779
39,2604,1.6614,1.23063,1.37757,0.76219,0.16723,0.175,0.07349,2.21377,2.27234,1.63883,0.008746,0.008746,0.008746
40,2670.76,1.64238,1.23901,1.37176,0.21431,0.24246,0.17236,0.07468,2.24479,2.37698,1.66914,0.008713,0.008713,0.008713
41,2737.43,1.65008,1.21259,1.33762,0.364,0.20813,0.18118,0.07509,2.28538,2.17035,1.66784,0.00868,0.00868,0.00868
42,2804.35,1.65631,1.23445,1.3592,0.41562,0.24009,0.23717,0.10219,2.10476,1.94958,1.59638,0.008647,0.008647,0.008647
43,2871.21,1.6222,1.20449,1.35192,0.23528,0.24427,0.21843,0.09802,2.15798,2.15081,1.6105,0.008614,0.008614,0.008614
44,2937.9,1.61216,1.18249,1.3421,0.45366,0.26955,0.25124,0.11639,2.08134,1.92833,1.5942,0.008581,0.008581,0.008581
45,3004.69,1.56825,1.15048,1.34383,0.56876,0.21232,0.19383,0.08325,2.16598,2.17816,1.64107,0.008548,0.008548,0.008548
46,3071.44,1.61947,1.19415,1.33914,0.35377,0.19023,0.15282,0.06206,2.46365,2.45975,1.85672,0.008515,0.008515,0.008515
47,3138.28,1.60063,1.15572,1.32952,0.41254,0.22867,0.21274,0.09726,2.11058,2.16034,1.56812,0.008482,0.008482,0.008482
48,3204.73,1.60313,1.15618,1.35352,0.30467,0.26204,0.23672,0.10834,1.98586,1.94614,1.5285,0.008449,0.008449,0.008449
49,3271.09,1.57259,1.14303,1.31854,0.69116,0.19666,0.19469,0.07938,2.22427,2.18688,1.67433,0.008416,0.008416,0.008416
50,3337.43,1.61336,1.19115,1.33977,0.4191,0.20818,0.18159,0.08118,2.08317,2.21286,1.58276,0.008383,0.008383,0.008383
51,3403.81,1.57763,1.14466,1.33524,0.50026,0.15604,0.16221,0.06726,2.3017,2.29053,1.64965,0.00835,0.00835,0.00835
52,3470.26,1.55865,1.11877,1.31273,0.54743,0.21337,0.20329,0.08964,2.10235,2.19062,1.57384,0.008317,0.008317,0.008317
53,3536.69,1.55558,1.12956,1.3049,0.55634,0.17085,0.18383,0.08246,2.20084,2.33075,1.66431,0.008284,0.008284,0.008284
54,3603.2,1.55057,1.1306,1.30885,0.51276,0.23843,0.19731,0.09408,2.06706,2.27657,1.56473,0.008251,0.008251,0.008251
55,3669.7,1.54206,1.11456,1.31517,0.4523,0.15467,0.15905,0.06976,2.21178,2.46179,1.6716,0.008218,0.008218,0.008218
56,3736.02,1.52767,1.1068,1.30285,0.58348,0.20904,0.17717,0.08154,2.12684,2.28453,1.60943,0.008185,0.008185,0.008185
57,3802.44,1.53251,1.09776,1.29043,0.37764,0.22125,0.19751,0.08859,2.07456,2.18565,1.55266,0.008152,0.008152,0.008152
58,3868.77,1.54129,1.1324,1.30187,0.30519,0.21876,0.16096,0.07215,2.35422,2.33253,1.72407,0.008119,0.008119,0.008119
59,3935.13,1.50386,1.08499,1.27992,0.49547,0.20513,0.19204,0.08881,2.0645,2.21468,1.58978,0.008086,0.008086,0.008086
60,4001.65,1.4954,1.08967,1.28456,0.26,0.26296,0.21485,0.09841,2.06352,2.05294,1.57011,0.008053,0.008053,0.008053
61,4067.97,1.49643,1.08413,1.27182,0.31707,0.28926,0.25539,0.11642,1.99897,2.00429,1.54377,0.00802,0.00802,0.00802
62,4134.31,1.52322,1.09748,1.30142,0.56141,0.21548,0.18992,0.08687,2.09825,2.18245,1.57504,0.007987,0.007987,0.007987
63,4200.69,1.51229,1.10188,1.28693,0.35563,0.26498,0.23374,0.10818,2.00912,2.03796,1.55615,0.007954,0.007954,0.007954
64,4267.04,1.4922,1.0704,1.29596,0.40976,0.23271,0.20934,0.09343,2.13702,2.33285,1.62235,0.007921,0.007921,0.007921
65,4333.5,1.48386,1.0629,1.27327,0.54664,0.24466,0.24763,0.11655,1.94905,1.93922,1.53172,0.007888,0.007888,0.007888
66,4399.92,1.46927,1.05919,1.27485,0.41608,0.17219,0.16981,0.07676,2.16493,3.05028,1.61234,0.007855,0.007855,0.007855
67,4466.33,1.48294,1.06502,1.27777,0.46338,0.23526,0.20508,0.09386,2.05223,2.11824,1.54348,0.007822,0.007822,0.007822
68,4532.58,1.48202,1.06956,1.27576,0.59417,0.24294,0.21443,0.09696,2.08982,1.99571,1.53367,0.007789,0.007789,0.007789
69,4598.96,1.46807,1.05466,1.24452,0.25232,0.26728,0.22803,0.1069,2.03561,2.02246,1.53649,0.007756,0.007756,0.007756
70,4665.21,1.48142,1.05081,1.28916,0.30865,0.15188,0.15953,0.07171,2.28846,2.39451,1.67307,0.007723,0.007723,0.007723
71,4731.79,1.46452,1.03493,1.27226,0.36035,0.18047,0.19101,0.09069,2.06685,2.08184,1.5421,0.00769,0.00769,0.00769
72,4798.01,1.44221,1.0318,1.25553,0.36666,0.23819,0.19302,0.08618,2.14913,2.13429,1.5814,0.007657,0.007657,0.007657
73,4864.2,1.44778,1.04004,1.26253,0.27964,0.27971,0.22419,0.10304,2.02201,2.10127,1.51145,0.007624,0.007624,0.007624
74,4930.39,1.45327,1.01981,1.25153,0.20399,0.25301,0.20816,0.09206,2.0897,1.98862,1.52286,0.007591,0.007591,0.007591
75,4996.7,1.46312,1.0276,1.25839,0.2712,0.24043,0.19996,0.09048,2.05447,2.10007,1.5403,0.007558,0.007558,0.007558
76,5063.08,1.44994,1.02963,1.25969,0.33056,0.26103,0.23046,0.10495,2.04585,2.19972,1.54446,0.007525,0.007525,0.007525
77,5129.36,1.43073,1.01083,1.23339,0.4612,0.22344,0.2077,0.10094,2.0382,2.13998,1.51124,0.007492,0.007492,0.007492
78,5195.64,1.41663,1.01576,1.24711,0.38844,0.23442,0.21365,0.0954,2.09595,2.08653,1.5791,0.007459,0.007459,0.007459
79,5261.92,1.44181,1.02,1.24882,0.2749,0.24666,0.25477,0.11757,1.98924,1.93305,1.51112,0.007426,0.007426,0.007426
80,5328.12,1.41064,1.00205,1.23219,0.44476,0.27476,0.24093,0.11395,1.93831,1.905,1.49904,0.007393,0.007393,0.007393
81,5394.41,1.4199,1.00758,1.24917,0.51226,0.24808,0.20557,0.0949,2.07353,2.03456,1.54459,0.00736,0.00736,0.00736
82,5460.59,1.43388,0.99695,1.24877,0.60694,0.23691,0.20786,0.09691,2.05106,2.16928,1.5175,0.007327,0.007327,0.007327
83,5526.91,1.42195,1.00799,1.23954,0.49753,0.18575,0.16676,0.07926,2.1946,2.21642,1.61297,0.007294,0.007294,0.007294
84,5593.34,1.40314,0.97668,1.22593,0.61796,0.17717,0.18568,0.08729,2.04203,2.26661,1.52743,0.007261,0.007261,0.007261
85,5659.66,1.40313,0.97892,1.24798,0.76475,0.199,0.20164,0.09648,2.0449,2.3102,1.56559,0.007228,0.007228,0.007228
86,5725.96,1.39511,0.99314,1.23563,0.47229,0.24226,0.20441,0.09462,2.01293,2.16923,1.50641,0.007195,0.007195,0.007195
87,5792.27,1.39485,0.97041,1.2267,0.49924,0.2391,0.2104,0.09799,2.01519,2.18087,1.51594,0.007162,0.007162,0.007162
88,5858.63,1.37821,0.95764,1.23068,0.77488,0.20979,0.18852,0.08591,2.14424,2.26236,1.55421,0.007129,0.007129,0.007129
89,5924.9,1.39968,0.986,1.23126,0.727,0.22212,0.21002,0.10427,1.97019,2.1067,1.51286,0.007096,0.007096,0.007096
90,5991.16,1.41007,0.99552,1.22971,0.42739,0.24829,0.22295,0.10461,1.9515,2.06896,1.47035,0.007063,0.007063,0.007063
91,6057.55,1.38586,0.96939,1.21639,0.25139,0.2324,0.1913,0.08844,2.06693,2.35475,1.52987,0.00703,0.00703,0.00703
92,6124,1.38907,0.97881,1.2349,0.74961,0.23103,0.20491,0.09513,2.01435,2.07144,1.51651,0.006997,0.006997,0.006997
93,6190.19,1.38133,0.96025,1.22086,0.61924,0.18856,0.17592,0.08194,2.08803,2.26989,1.53855,0.006964,0.006964,0.006964
94,6256.54,1.3675,0.95777,1.21622,0.55498,0.21168,0.19265,0.09361,2.04315,2.17168,1.53392,0.006931,0.006931,0.006931
95,6322.98,1.3833,0.99009,1.22169,0.78646,0.19465,0.18749,0.08873,2.09104,2.19758,1.53285,0.006898,0.006898,0.006898
96,6389.17,1.36179,0.94263,1.20969,0.40233,0.20419,0.1884,0.08998,2.03843,2.09892,1.52543,0.006865,0.006865,0.006865
97,6455.44,1.39286,0.94757,1.2251,0.64358,0.18692,0.22313,0.10132,1.99835,2.29449,1.50569,0.006832,0.006832,0.006832
98,6521.81,1.36931,0.93982,1.21869,0.7835,0.19663,0.1997,0.09613,1.98858,2.21781,1.47523,0.006799,0.006799,0.006799
99,6588.04,1.3499,0.9287,1.21514,0.34829,0.2628,0.23711,0.11443,1.9296,2.01911,1.45653,0.006766,0.006766,0.006766
100,6654.29,1.34689,0.94533,1.21158,0.43083,0.2775,0.22975,0.10926,1.98117,2.0641,1.49914,0.006733,0.006733,0.006733
101,6720.56,1.36216,0.94018,1.19963,0.62063,0.16077,0.17025,0.08322,2.08774,2.32471,1.54143,0.0067,0.0067,0.0067
102,6786.79,1.34708,0.94883,1.19808,0.27713,0.20367,0.20774,0.10153,1.97427,1.97032,1.46436,0.006667,0.006667,0.006667
103,6853.22,1.36334,0.93568,1.21706,0.2451,0.25676,0.20723,0.10056,2.04336,2.10184,1.50402,0.006634,0.006634,0.006634
104,6919.67,1.34646,0.93084,1.21078,0.79184,0.18594,0.21826,0.11072,1.88706,2.14977,1.43605,0.006601,0.006601,0.006601
105,6986.12,1.35642,0.91589,1.19695,0.59052,0.26495,0.26629,0.12827,1.84066,1.87478,1.40531,0.006568,0.006568,0.006568
106,7052.44,1.32688,0.90671,1.18145,0.38651,0.27485,0.22907,0.10504,2.01689,1.93119,1.53156,0.006535,0.006535,0.006535
107,7118.7,1.34177,0.91773,1.20008,0.81707,0.1884,0.23009,0.11152,1.94423,2.02997,1.44659,0.006502,0.006502,0.006502
108,7185.08,1.32462,0.91892,1.19778,0.34675,0.2103,0.22276,0.10343,1.94946,1.93889,1.46879,0.006469,0.006469,0.006469
109,7251.52,1.3451,0.92043,1.20026,0.43587,0.25251,0.20332,0.09512,2.03738,2.02723,1.5079,0.006436,0.006436,0.006436
110,7318.16,1.3412,0.91304,1.19164,0.30189,0.18691,0.16778,0.07675,2.1932,2.23344,1.57919,0.006403,0.006403,0.006403
111,7384.74,1.30866,0.90966,1.1893,0.64047,0.16062,0.19561,0.08879,2.0583,2.27064,1.5364,0.00637,0.00637,0.00637
112,7451.37,1.31495,0.90871,1.18647,0.43148,0.26509,0.24752,0.11514,1.96777,1.92979,1.48896,0.006337,0.006337,0.006337
113,7517.93,1.33202,0.89569,1.20929,0.48902,0.19526,0.18622,0.08684,2.04268,2.22871,1.51631,0.006304,0.006304,0.006304
114,7584.56,1.34226,0.9095,1.20081,0.29714,0.2611,0.24099,0.11403,1.99118,1.95299,1.45048,0.006271,0.006271,0.006271
115,7651.64,1.32322,0.90253,1.20093,0.4452,0.22496,0.20631,0.09994,1.98702,2.13158,1.46973,0.006238,0.006238,0.006238
116,7718.32,1.32049,0.89929,1.18902,0.45609,0.1909,0.22518,0.1092,1.95242,2.0741,1.46665,0.006205,0.006205,0.006205
117,7785.27,1.3311,0.91903,1.20601,0.47762,0.23005,0.22871,0.11083,1.94606,1.99153,1.46027,0.006172,0.006172,0.006172
118,7852.18,1.30532,0.8929,1.1989,0.31303,0.2863,0.25597,0.12082,1.96153,1.87203,1.48035,0.006139,0.006139,0.006139
119,7919.33,1.2996,0.88976,1.18431,0.47779,0.19652,0.18571,0.09095,2.03102,2.15049,1.47055,0.006106,0.006106,0.006106
120,7987.12,1.30359,0.87074,1.18977,0.44814,0.21303,0.19079,0.08811,2.14354,2.19621,1.55642,0.006073,0.006073,0.006073
121,8054.68,1.29354,0.883,1.17638,0.7621,0.16753,0.18242,0.08101,2.11157,2.21091,1.5211,0.00604,0.00604,0.00604
122,8122.81,1.29158,0.87845,1.17121,0.28205,0.28302,0.23964,0.10398,2.01849,1.97743,1.49295,0.006007,0.006007,0.006007
123,8192.76,1.29293,0.89515,1.18953,0.31831,0.29798,0.25906,0.1234,1.91401,1.83765,1.43219,0.005974,0.005974,0.005974
124,8262.12,1.28035,0.8599,1.1767,0.26012,0.21093,0.19028,0.09171,2.04795,2.26648,1.47481,0.005941,0.005941,0.005941
125,8332.73,1.27081,0.84793,1.16452,0.30903,0.23164,0.20869,0.10282,1.94434,2.0424,1.45465,0.005908,0.005908,0.005908
126,8401.81,1.26189,0.83947,1.15499,0.54652,0.21458,0.21179,0.09793,1.92404,2.13219,1.4336,0.005875,0.005875,0.005875
127,8472.95,1.27797,0.87464,1.18623,0.77759,0.17524,0.19476,0.09158,2.01417,2.26278,1.47674,0.005842,0.005842,0.005842
128,8542.94,1.25254,0.85177,1.1786,0.46197,0.17325,0.20578,0.09729,2.04208,2.05677,1.46314,0.005809,0.005809,0.005809
129,8613.04,1.27554,0.87156,1.17954,0.32884,0.19799,0.19579,0.09241,2.02629,2.06414,1.46866,0.005776,0.005776,0.005776
130,8683.61,1.28783,0.86421,1.18165,0.33183,0.21727,0.19557,0.08822,2.07199,1.99957,1.49552,0.005743,0.005743,0.005743
131,8753.54,1.26377,0.85746,1.16207,0.4089,0.26212,0.23392,0.10848,1.98032,1.9334,1.46083,0.00571,0.00571,0.00571
132,8823.06,1.28039,0.86616,1.17115,0.44695,0.20547,0.18641,0.08848,2.07812,2.30449,1.50562,0.005677,0.005677,0.005677
133,8893.25,1.25911,0.84702,1.15634,0.4564,0.2355,0.20818,0.10082,2.00144,1.98519,1.47875,0.005644,0.005644,0.005644
134,8963.04,1.30567,0.88133,1.17953,0.28261,0.22511,0.19965,0.09358,2.00273,2.0669,1.48413,0.005611,0.005611,0.005611
135,9032.34,1.29009,0.86021,1.17451,0.45508,0.2416,0.21579,0.09769,2.02846,2.07442,1.47095,0.005578,0.005578,0.005578
136,9102.26,1.23859,0.84042,1.16467,0.62876,0.21628,0.19506,0.08881,2.09318,2.15938,1.50537,0.005545,0.005545,0.005545
137,9171.73,1.26347,0.84108,1.1614,0.46516,0.22657,0.23832,0.11067,2.01339,1.93324,1.48701,0.005512,0.005512,0.005512
138,9241.05,1.26042,0.85711,1.16288,0.53942,0.21896,0.19256,0.08643,2.10905,2.16338,1.50102,0.005479,0.005479,0.005479
139,9310.64,1.25546,0.84498,1.16886,0.44842,0.20243,0.23379,0.10988,1.97416,2.03793,1.47426,0.005446,0.005446,0.005446
140,9381.05,1.25924,0.82817,1.15949,0.46467,0.2744,0.25232,0.12114,1.89607,1.89315,1.44705,0.005413,0.005413,0.005413
141,9451.42,1.23532,0.83473,1.14737,0.47827,0.21076,0.22037,0.10315,1.99518,2.11423,1.45054,0.00538,0.00538,0.00538
142,9521.95,1.23732,0.83131,1.1532,0.44284,0.25851,0.2199,0.10028,1.98277,2.06345,1.4744,0.005347,0.005347,0.005347
143,9592.34,1.22921,0.82107,1.15312,0.52125,0.21841,0.2338,0.10824,1.98698,1.99325,1.48867,0.005314,0.005314,0.005314
144,9662.24,1.26531,0.83915,1.15677,0.49026,0.18084,0.22743,0.10158,1.97616,2.21434,1.45386,0.005281,0.005281,0.005281
145,9731.5,1.22115,0.80517,1.1519,0.42059,0.2339,0.21427,0.09801,2.0076,2.11264,1.45952,0.005248,0.005248,0.005248
146,9800.99,1.23443,0.82734,1.13948,0.49585,0.16503,0.19382,0.09246,2.01251,2.13578,1.46566,0.005215,0.005215,0.005215
147,9869.99,1.22555,0.83014,1.15957,0.42206,0.19826,0.20879,0.10006,1.9299,2.08185,1.43597,0.005182,0.005182,0.005182
148,9939.16,1.21499,0.8143,1.14766,0.48054,0.18928,0.21591,0.10193,2.00891,2.06848,1.46489,0.005149,0.005149,0.005149
149,10007.6,1.22878,0.82771,1.16327,0.5,0.19046,0.20897,0.09917,1.96649,2.2282,1.45753,0.005116,0.005116,0.005116
150,10076.3,1.23067,0.8083,1.13787,0.4713,0.16257,0.23108,0.1104,1.97193,2.13327,1.43579,0.005083,0.005083,0.005083
151,10145.5,1.21809,0.81182,1.14691,0.48033,0.1868,0.24696,0.11863,1.94016,1.99201,1.40692,0.00505,0.00505,0.00505
152,10214.8,1.20541,0.79639,1.14794,0.54382,0.21409,0.2365,0.11064,1.94901,2.05451,1.4268,0.005017,0.005017,0.005017
